gx,gy,gz,wx,wy,wz
-0.188233,0.981532,-0.035288,-0.001953,0.009766,-0.369141
-0.191845,0.980865,-0.035260,0.001953,0.013672,-0.378906
-0.195552,0.980072,-0.035206,-0.007812,0.005859,-0.386719
-0.199342,0.979289,-0.035161,-0.003906,0.001953,-0.394531
-0.203218,0.978514,-0.035124,-0.011719,0.000000,-0.388672
-0.206896,0.977670,-0.034953,-0.009766,-0.001953,-0.388672
-0.210674,0.976999,-0.034963,-0.007812,-0.003906,-0.388672
-0.214513,0.976123,-0.034777,0.000000,-0.001953,-0.388672
-0.218233,0.975249,-0.034801,0.003906,0.001953,-0.392578
-0.222030,0.974335,-0.034804,0.000000,0.000000,-0.394531
-0.225896,0.973515,-0.034814,-0.001953,0.005859,-0.398438
-0.229689,0.972587,-0.034833,-0.003906,0.005859,-0.404297
-0.233631,0.971719,-0.034831,-0.005859,0.007812,-0.414062
-0.237749,0.970737,-0.034809,-0.007812,0.005859,-0.425781
-0.241779,0.969733,-0.034797,-0.005859,0.003906,-0.429688
-0.245947,0.968670,-0.034621,-0.001953,0.000000,-0.437500
-0.250237,0.967555,-0.034601,0.000000,-0.001953,-0.443359
-0.254448,0.966465,-0.034618,-0.001953,-0.005859,-0.453125
-0.258911,0.965223,-0.034591,-0.005859,-0.007812,-0.457031
-0.263333,0.964029,-0.034428,-0.007812,-0.011719,-0.460938
-0.267700,0.962888,-0.034449,-0.007812,-0.009766,-0.462891
-0.272194,0.961639,-0.034281,-0.009766,-0.009766,-0.462891
-0.276522,0.960401,-0.034149,-0.005859,-0.009766,-0.464844
-0.281057,0.959121,-0.034177,0.000000,-0.009766,-0.462891
-0.285391,0.957776,-0.034066,0.001953,-0.009766,-0.464844
-0.289844,0.956511,-0.034139,0.000000,-0.015625,-0.466797
-0.294258,0.955158,-0.034048,0.000000,-0.015625,-0.472656
-0.298758,0.953672,-0.033945,-0.005859,-0.017578,-0.482422
-0.307986,0.950742,-0.033749,-0.005859,-0.023438,-0.494141
-0.307986,0.950742,-0.033749,-0.005859,-0.023438,-0.494141
-0.317511,0.947598,-0.033403,-0.007812,-0.031250,-0.505859
-0.317511,0.947598,-0.033403,-0.007812,-0.031250,-0.505859
-0.322330,0.946052,-0.033335,-0.003906,-0.033203,-0.505859
-0.326945,0.944444,-0.033125,-0.007812,-0.042969,-0.505859
-0.331730,0.942845,-0.032925,-0.007812,-0.044922,-0.509766
-0.336510,0.941100,-0.032718,-0.007812,-0.046875,-0.509766
-0.341296,0.939389,-0.032541,-0.009766,-0.044922,-0.507812
-0.346020,0.937631,-0.032181,-0.011719,-0.042969,-0.500000
-0.350701,0.935975,-0.032027,-0.009766,-0.037109,-0.494141
